epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
54,1143.79,1.82301,3.05049,1.93307,1.75,0,0.10728,0.26316,0.1041,0.04537,0.0591,0.31579,0.06723,0.03117,2.3981,5.29324,3.53656,2.39597,0,0.00185139,0.00185139,0.00185139
55,1167.59,1.62664,2.76551,1.77001,1.58256,0,0.13143,0.31579,0.14282,0.06537,0.08987,0.21053,0.08527,0.0409,2.2517,5.71336,3.46486,2.3174,0,0.00184588,0.00184588,0.00184588
56,1189.16,1.79808,2.91832,1.81281,1.78305,0,0.13941,0.36842,0.13819,0.06439,0.38925,0.05263,0.07184,0.03246,2.08672,6.53954,3.60442,2.05855,0,0.00184028,0.00184028,0.00184028
57,1211.1,1.7103,2.89268,1.76098,1.59994,0,0.13941,0.36842,0.13819,0.06439,0.38925,0.05263,0.07184,0.03246,2.08672,6.53954,3.60442,2.05855,0,0.00183459,0.00183459,0.00183459
58,1231.59,1.58221,3.14659,1.96176,1.66817,0,0.14034,0.42105,0.16771,0.07593,0.11719,0.18421,0.10754,0.04522,2.04647,6.20256,3.50164,2.05383,0,0.00182881,0.00182881,0.00182881
59,1253.57,1.58753,2.80576,1.63621,1.56257,0,0.21838,0.31579,0.19547,0.07951,0.24331,0.31579,0.18147,0.05874,2.07286,5.69154,3.28262,2.11327,0,0.00182294,0.00182294,0.00182294
60,1275.47,1.67967,2.74361,1.71926,1.6271,0,0.22519,0.36842,0.22691,0.08693,0.22761,0.34211,0.2013,0.07333,2.07667,4.59716,3.10456,2.14807,0,0.00181698,0.00181698,0.00181698
61,1296.21,1.77986,2.87168,1.84007,1.70032,0,0.22519,0.36842,0.22691,0.08693,0.22761,0.34211,0.2013,0.07333,2.07667,4.59716,3.10456,2.14807,0,0.00181093,0.00181093,0.00181093
62,1316.93,1.68755,2.95523,1.71209,1.62141,0,0.23582,0.34211,0.21562,0.08,0.26503,0.26316,0.19489,0.07041,2.0628,4.35026,2.93915,2.06689,0,0.00180479,0.00180479,0.00180479
63,1336.59,1.70796,2.50251,1.80756,1.67605,0,0.24918,0.3582,0.2028,0.07653,0.18526,0.23684,0.14779,0.05246,2.04143,4.51996,2.77412,2.03251,0,0.00179856,0.00179856,0.00179856
64,1358.63,1.80084,2.7986,1.79134,1.73712,0,0.18071,0.28947,0.1595,0.06993,0.17006,0.26316,0.12247,0.04194,2.03031,4.94744,2.5832,1.9514,0,0.00179225,0.00179225,0.00179225
65,1380.94,1.73024,2.87724,1.81565,1.64808,0,0.18071,0.28947,0.1595,0.06993,0.17006,0.26316,0.12247,0.04194,2.03031,4.94744,2.5832,1.9514,0,0.00178586,0.00178586,0.00178586
66,1402.89,1.59327,2.714,1.64731,1.59336,0,0.17736,0.28947,0.13174,0.05792,0.15978,0.28947,0.09745,0.03435,2.04018,5.61074,2.84629,1.99205,0,0.00177937,0.00177937,0.00177937
