epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,994.63,1.18434,2.19036,1.27054,1.25084,0,0.33418,0.26316,0.23434,0.097,0.36851,0.28947,0.24838,0.06669,2.14975,4.67307,2.43036,2.07732,0,0.0010496,0.0010496,0.0010496
50,1014.17,1.04916,2.02373,1.18969,1.16383,0,0.34504,0.31579,0.24736,0.09378,0.283,0.28947,0.2258,0.07241,2.23404,4.60096,2.53845,2.17825,0,0.0010298,0.0010298,0.0010298
51,1033.98,1.05959,2.0483,1.2331,1.20302,0,0.27197,0.42105,0.2217,0.10142,0.26496,0.36842,0.20949,0.08,2.17005,4.45287,2.7164,2.07664,0,0.00101,0.00101,0.00101
52,1054.64,1.07812,2.14444,1.21114,1.17618,0,0.19982,0.47368,0.19803,0.09994,0.20676,0.42105,0.18389,0.07039,2.08958,4.36675,2.77585,1.97614,0,0.0009902,0.0009902,0.0009902
53,1077.7,1.11412,2.13335,1.19438,1.15666,0,0.19982,0.47368,0.19803,0.09994,0.20676,0.42105,0.18389,0.07039,2.08958,4.36675,2.77585,1.97614,0,0.0009704,0.0009704,0.0009704
54,1100.63,1.07491,2.09948,1.26503,1.17651,0,0.28968,0.21053,0.14909,0.06299,0.17529,0.34211,0.12937,0.04829,2.05654,4.4338,3.01824,1.97734,0,0.0009506,0.0009506,0.0009506
55,1123,1.05261,2.00217,1.19503,1.10513,0,0.20729,0.36842,0.1399,0.06456,0.17255,0.26316,0.11658,0.04782,2.17473,4.41858,3.39907,2.12045,0,0.0009308,0.0009308,0.0009308
56,1145.16,1.18385,2.31296,1.2402,1.2578,0,0.29412,0.31579,0.15679,0.05837,0.23779,0.28947,0.12682,0.04708,2.15717,4.38595,3.59799,2.09652,0,0.000911,0.000911,0.000911
57,1168.69,1.1098,2.0028,1.10577,1.15587,0,0.29412,0.31579,0.15679,0.05837,0.23779,0.28947,0.12682,0.04708,2.15717,4.38595,3.59799,2.09652,0,0.0008912,0.0008912,0.0008912
58,1189.94,1.04074,2.21644,1.39116,1.20757,0,0.21674,0.31579,0.13235,0.05708,0.21674,0.31579,0.1261,0.04395,2.12966,4.34265,3.59393,2.04782,0,0.0008714,0.0008714,0.0008714
59,1211.8,0.92646,1.91153,0.97605,1.07964,0,0.24713,0.39474,0.16982,0.0695,0.23065,0.36842,0.16008,0.05651,2.14932,4.39267,3.1073,2.0222,0,0.0008516,0.0008516,0.0008516
60,1232.91,1.05192,1.82196,1.12042,1.12523,0,0.26654,0.44737,0.22312,0.08669,0.21856,0.5,0.22844,0.07447,2.22865,4.40411,2.90496,2.0843,0,0.0008318,0.0008318,0.0008318
61,1255.56,1.18419,2.05459,1.23303,1.18874,0,0.26654,0.44737,0.22312,0.08669,0.21856,0.5,0.22844,0.07447,2.22865,4.40411,2.90496,2.0843,0,0.000812,0.000812,0.000812
62,1276.51,1.02856,1.92326,1.06031,1.10772,0,0.41972,0.28947,0.27263,0.09813,0.45894,0.31579,0.30112,0.09224,2.15271,4.50853,2.7259,2.08223,0,0.0007922,0.0007922,0.0007922
63,1296.42,1.0082,1.97398,1.10286,1.15119,0,0.32703,0.39474,0.25721,0.0955,0.34884,0.42105,0.26672,0.08048,2.04913,4.40556,2.75602,1.93055,0,0.0007724,0.0007724,0.0007724
64,1317.26,0.96272,1.86054,1.01695,1.1116,0,0.46065,0.31471,0.28598,0.10954,0.43865,0.28947,0.22718,0.08556,2.03788,4.256,2.72671,1.89184,0,0.0007526,0.0007526,0.0007526
