segment_id,class,area_px,area_pct,confidence,conf_sulfide,cx,cy
2186,fine,2338,0.00185,0.8735,0.9488,285,6117
1705,fine,2331,0.00184,0.9552,0.9655,78,4432
2586,fine,2322,0.00184,0.9405,0.9341,12160,7223
1143,fine,2310,0.00183,0.932,0.9364,13285,2956
1591,fine,2308,0.00182,0.9211,0.9518,1975,4109
2825,fine,2281,0.0018,0.9418,0.9516,4127,7777
978,fine,2271,0.0018,0.7623,0.9308,3544,2535
1931,fine,2265,0.00179,0.9528,0.9469,11908,5180
2481,fine,2259,0.00179,0.9157,0.9359,12400,6909
2812,fine,2256,0.00178,0.9314,0.9565,64,7766
1452,fine,2249,0.00178,0.9081,0.9518,6880,3751
1500,fine,2246,0.00178,0.9393,0.9223,1750,3893
1526,fine,2243,0.00177,0.9325,0.9325,10238,3949
1128,fine,2235,0.00177,0.9561,0.9561,7909,2912
2703,fine,2222,0.00176,0.9147,0.9398,6606,7485
3114,fine,2199,0.00174,0.9244,0.9397,3918,8354
2602,fine,2184,0.00173,0.8193,0.9371,11285,7256
1515,fine,2183,0.00173,0.9572,0.9436,1338,3954
170,fine,2158,0.00171,0.9503,0.9532,5077,401
112,fine,2147,0.0017,0.8666,0.9578,6120,264
3188,fine,2145,0.0017,0.9802,0.92,8383,8521
967,fine,2137,0.00169,0.9156,0.9502,9884,2499
3607,fine,2123,0.00168,0.9673,0.9513,13240,9424
3476,fine,2120,0.00168,0.9547,0.9595,13309,9200
2768,fine,2106,0.00166,0.8196,0.8712,6129,7653
2174,fine,2081,0.00165,0.9105,0.9488,6855,6092
2780,fine,2062,0.00163,0.8947,0.9365,12524,7688
2911,fine,2062,0.00163,0.8805,0.9384,8323,7933
2223,fine,2061,0.00163,0.7948,0.9683,10500,6252
1752,fine,2044,0.00162,0.8977,0.959,12619,4549
1969,fine,2028,0.0016,0.8822,0.9454,12707,5317
2986,fine,1999,0.00158,0.8881,0.9213,9414,8087
1790,fine,1994,0.00158,0.8727,0.8905,1717,4702
2182,fine,1988,0.00157,0.9553,0.9326,8532,6105
1609,fine,1969,0.00156,0.9593,0.9072,10453,4176
3352,fine,1940,0.00153,0.9741,0.9556,8053,8895
742,fine,1920,0.00152,0.9197,0.9398,3351,1848
2156,fine,1915,0.00151,0.9445,0.9554,6571,6004
3441,fine,1910,0.00151,0.9395,0.9442,8711,9113
663,fine,1908,0.00151,0.9633,0.9366,10659,1693
1133,fine,1898,0.0015,0.9116,0.8662,5814,2954
1214,fine,1887,0.00149,0.8929,0.9376,1467,3074
1453,fine,1884,0.00149,0.9488,0.9474,8568,3760
2776,fine,1884,0.00149,0.9096,0.964,1769,7673
2192,fine,1849,0.00146,0.9209,0.9201,6520,6117
3546,fine,1840,0.00145,0.8565,0.8929,6199,9324
3457,fine,1832,0.00145,0.9638,0.9274,4465,9131
1597,fine,1815,0.00143,0.9559,0.9135,4939,4130
2564,fine,1809,0.00143,0.9039,0.9177,1091,7165
985,fine,1805,0.00143,0.772,0.9183,818,2551
2352,fine,1796,0.00142,0.9239,0.914,11946,6565
3322,fine,1795,0.00142,0.9131,0.9397,12125,8811
1251,fine,1786,0.00141,0.9238,0.9251,2971,3205
116,fine,1786,0.00141,0.9479,0.9711,4814,264
1686,fine,1774,0.0014,0.9129,0.9451,8465,4380
3216,fine,1751,0.00138,0.9408,0.9659,3993,8564
2040,fine,1749,0.00138,0.9479,0.9485,11885,5582
3443,fine,1743,0.00138,0.9393,0.9362,4733,9097
2772,fine,1740,0.00138,0.9653,0.9453,4826,7675
635,fine,1736,0.00137,0.8703,0.9097,6151,1612
1697,fine,1735,0.00137,0.9575,0.969,20,4407
973,fine,1730,0.00137,0.9321,0.9523,12651,2529
1483,fine,1724,0.00136,0.9642,0.9305,1398,3827
1305,fine,1713,0.00135,0.8169,0.9592,62,3352
2747,fine,1713,0.00135,0.9669,0.9477,4873,7624
1805,fine,1712,0.00135,0.8968,0.9676,13110,4707
2070,fine,1711,0.00135,0.9413,0.9269,11805,5670
3031,fine,1706,0.00135,0.8339,0.931,1099,8192
3646,fine,1706,0.00135,0.8704,0.9396,772,9472
1869,fine,1702,0.00135,0.9485,0.9546,5205,4896
1527,fine,1678,0.00133,0.9541,0.9465,1367,3959
505,fine,1674,0.00132,0.9476,0.944,6851,1272
2582,fine,1671,0.00132,0.8201,0.9364,1904,7203
1835,fine,1667,0.00132,0.9137,0.9254,1845,4820
1016,fine,1663,0.00131,0.8227,0.9303,6026,2662
2134,fine,1658,0.00131,0.9119,0.9585,4342,5941
1898,fine,1651,0.00131,0.8212,0.8959,10291,5071
688,fine,1647,0.0013,0.8739,0.9518,2906,1751
2697,fine,1645,0.0013,0.9568,0.943,4646,7458
1210,fine,1642,0.0013,0.85,0.9296,9461,3063
2359,fine,1619,0.00128,0.9709,0.8892,10089,6579
2148,fine,1616,0.00128,0.9144,0.9459,1420,6002
3572,fine,1614,0.00128,0.9648,0.9483,13225,9345
2362,fine,1609,0.00127,0.9637,0.9124,11201,6596
